PositionX , PositionY , Number_of_slip_offs, Line/corridor_following_distance_error 
716,319,63,0
716,317,63,0
716,313,63,0
714,311,63,0
714,309,63,0
714,305,63,0
711,303,63,0
711,303,63,0
711,303,63,0
711,303,63,0
711,303,63,0
706,299,63,0
697,297,63,0
697,297,63,0
688,297,63,0
679,297,63,0
659,295,63,0
659,295,63,0
655,295,63,0
651,295,63,0
638,296,63,0
638,299,63,0
638,299,63,0
638,299,63,0
638,303,63,0
638,303,63,0
640,305,63,0
637,309,63,0
637,309,63,0
637,309,63,0
633,309,63,0
635,309,63,0
635,309,63,0
635,309,63,0
635,309,63,0
635,309,63,0
633,316,63,0
633,318,63,0
633,318,63,0
628,318,63,0
628,318,63,0
628,318,63,0
628,318,63,0
635,315,63,0
638,315,63,0
660,315,63,0
692,317,63,0
692,317,63,0
692,317,63,0
692,317,63,0
705,319,63,0
717,315,63,0
722,310,63,0
725,308,63,0
725,308,63,0
735,300,63,0
735,300,63,0
735,300,63,0
735,300,63,0
749,298,63,0
758,296,63,0
758,296,63,0
758,296,63,0
764,296,63,0
773,296,63,0
773,296,63,0
780,293,63,0
782,293,63,0
788,291,63,0
791,291,63,0
794,291,63,0
794,291,63,0
802,291,63,0
802,291,63,0
802,291,63,0
802,291,63,0
802,295,63,0
802,295,63,0
815,292,63,0
815,292,63,0
815,292,63,0
826,292,63,0
826,292,63,0
831,292,63,0
833,292,63,0
840,296,63,0
845,298,63,0
845,298,63,0
845,298,63,0
848,301,63,0
851,303,63,0
854,303,63,0
854,303,63,0
857,305,63,0
857,305,63,0
864,308,63,0
867,311,63,0
870,313,63,0
870,313,63,0
874,313,63,0
874,313,63,0
880,313,63,0
880,313,63,0
886,313,63,0
886,313,63,0
893,317,63,0
893,317,63,0
893,317,63,0
893,317,63,0
896,317,63,0
900,317,63,0
900,320,63,0
900,320,63,0
902,320,63,0
902,320,63,0
906,321,63,0
906,321,63,0
906,321,63,0
910,325,63,0
913,325,63,0
913,325,63,0
913,325,63,0
916,325,63,0
916,325,63,0
916,325,63,0
920,325,63,0
920,325,63,0
920,325,63,0
920,325,63,0
923,325,63,0
923,325,63,0
926,323,63,0
926,323,63,0
926,323,63,0
931,323,63,0
931,323,63,0
931,323,63,0
933,323,63,0
933,323,63,0
949,321,63,0
949,321,63,0
949,321,63,0
949,321,63,0
952,321,63,0
957,321,63,0
957,321,63,0
957,321,63,0
961,321,63,0
961,323,63,0
963,323,63,0
963,323,63,0
963,323,63,0
971,326,63,0
971,326,63,0
971,326,63,0
971,326,63,0
978,326,63,0
978,328,63,0
981,328,63,0
981,328,63,0
981,328,63,0
981,336,63,0
981,336,63,0
977,340,63,0
977,345,63,0
977,345,63,0
980,350,63,0
980,350,63,0
980,353,63,0
980,353,63,0
980,353,63,0
980,353,63,0
980,353,63,0
980,353,63,0
980,353,63,0
980,353,63,0
980,357,63,0
980,357,63,0
978,360,63,0
978,360,63,0
974,371,64,226
974,371,65,226
974,371,66,226
974,371,67,226
971,366,67,0
973,356,67,0
976,346,67,0
976,346,67,0
976,346,67,0
976,338,67,0
976,338,67,0
973,338,67,0
973,338,67,0
973,338,67,0
973,340,67,0
979,340,67,0
979,340,67,0
987,340,67,0
993,345,67,0
993,345,67,0
993,345,67,0
993,345,67,0
1000,345,67,0
1000,345,67,0
1007,343,67,0
1007,343,67,0
1007,343,67,0
1012,343,67,0
1012,341,67,0
1012,341,67,0
1019,344,67,0
1019,344,67,0
1019,344,67,0
1026,344,67,0
1033,344,67,0
1033,344,67,0
1033,344,67,0
1038,344,67,0
1038,344,67,0
1046,344,67,0
1049,342,67,0
1049,342,67,0
1058,340,68,6
1058,340,69,6
1065,335,70,13
1065,335,71,13
1073,332,72,21
1073,332,73,21
1082,328,74,30
1082,328,75,30
1082,328,76,30
1088,324,77,36
1088,324,78,36
1088,324,79,36
1095,320,80,43
1095,320,81,43
1102,308,82,50
1102,308,83,50
1102,308,84,50
1102,308,85,50
1102,308,86,50
1105,301,87,53
1105,301,88,53
1105,301,89,53
1105,298,90,53
1105,290,91,53
1105,290,92,53
1105,290,93,53
1105,287,94,53
1105,287,95,53
1105,287,96,53
1105,282,97,60
1112,282,98,60
1112,282,99,60
1112,278,100,60
1108,275,101,56
1108,271,102,56
1098,266,103,46
1093,263,104,41
1093,263,105,41
1088,261,106,36
1078,255,107,26
1078,255,108,26
1078,255,109,26
1067,255,110,15
1067,255,111,15
1056,252,112,4
1056,252,113,4
1054,252,114,2
1054,252,115,2
1054,258,116,2
1061,262,117,9
1078,268,118,26
1078,268,119,26
1078,268,120,26
1078,268,121,26
1088,277,122,36
1088,277,123,36
1088,281,124,36
1088,281,125,36
1088,281,126,36
1070,286,127,18
1070,286,128,18
1070,286,129,18
1070,286,130,18
1070,286,131,18
1044,293,131,0
1038,293,131,0
1031,297,131,0
1028,297,131,0
1017,297,131,0
1017,297,131,0
1009,295,131,0
1009,295,131,0
1009,295,131,0
1006,295,131,0
1006,295,131,0
1016,295,131,0
1016,295,131,0
1023,293,131,0
1033,293,131,0
1043,295,131,0
1045,295,131,0
1045,297,131,0
